PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkBuiltinIntegerOps/AddSmall-128         	111859548	        53.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/AddSmall-128         	111808016	        53.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/AddSmall-128         	100000000	        52.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/AddSmall-128         	111870618	        53.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	110924020	        53.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	110727298	        53.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	111173182	        53.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	110790176	        53.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	110840546	        53.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/SubtractSmall-128    	110871326	        53.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107424087	        55.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107190920	        55.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107350773	        55.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107338460	        55.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107386970	        55.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/EqualsSmall-128      	107737358	        55.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	100000000	        55.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	107189080	        55.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	107196522	        55.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	107328843	        55.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	105043410	        55.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanSmall-128    	107442680	        55.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	105893406	        56.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	105772108	        56.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	100000000	        55.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	105878554	        56.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	105846789	        56.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkBuiltinIntegerOps/LessThanEqualsSmall-128         	105939157	        56.23 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/blinklabs-io/plutigo/cek	797.154s
PASS
ok  	github.com/blinklabs-io/plutigo/data	0.014s
?   	github.com/blinklabs-io/plutigo/lang	[no test files]
PASS
ok  	github.com/blinklabs-io/plutigo/syn	0.016s
PASS
ok  	github.com/blinklabs-io/plutigo/syn/lex	0.015s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/tests
BenchmarkFlatFiles/auction_1-1-128         	    3926	   1370305 ns/op
BenchmarkFlatFiles/auction_1-1-128         	    3664	   1465505 ns/op
BenchmarkFlatFiles/auction_1-1-128         	    3602	   1414413 ns/op
BenchmarkFlatFiles/auction_1-1-128         	    3622	   1424218 ns/op
BenchmarkFlatFiles/auction_1-1-128         	    3684	   1464859 ns/op
BenchmarkFlatFiles/auction_1-1-128         	    3679	   1373134 ns/op
